snr_dB,ami
-2.00000000000000000000e+01,2.83236328203610554510e-01
-1.50000000000000000000e+01,8.61445045195519343295e-01
-1.00000000000000000000e+01,2.45430767169745989165e+00
-5.00000000000000000000e+00,6.10262001258910746770e+00
0.00000000000000000000e+00,1.19785047623522267202e+01
5.00000000000000000000e+00,1.71325078023949579631e+01
1.00000000000000000000e+01,1.92899011515159770624e+01
1.50000000000000000000e+01,1.98336845983000173987e+01
2.00000000000000000000e+01,1.99536654159060837799e+01
2.50000000000000000000e+01,1.99859734698862610003e+01
3.00000000000000000000e+01,1.99957486931938070995e+01
